title|likes|url
Marionetta|6000000|https://www.webtoons.com/en/fantasy/marionetta/list?title_no=4425
Doom Breaker|6000000|https://www.webtoons.com/en/action/doom-breaker/list?title_no=3197
The Lazy Lord Masters the Sword|5600000|https://www.webtoons.com/en/fantasy/the-lazy-lord-masters-the-sword/list?title_no=3349
CARL|5600000|https://www.webtoons.com/en/slice-of-life/carl/list?title_no=1216
The Druid of Seoul Station|5400000|https://www.webtoons.com/en/action/the-druid-of-seoul-station/list?title_no=3453
Death: Rescheduled|5400000|https://www.webtoons.com/en/thriller/death-rescheduled/list?title_no=3515
66,666 Years: Advent of the Dark Mage|5400000|https://www.webtoons.com/en/fantasy/66666-years-advent-of-the-dark-mage/list?title_no=3441
I Am the Villain|5300000|https://www.webtoons.com/en/romance/i-am-the-villain/list?title_no=4937
The Guy Upstairs|5200000|https://www.webtoons.com/en/thriller/the-guy-upstairs/list?title_no=4087
Love 4 a Walk|5200000|https://www.webtoons.com/en/romance/love-4-a-walk/list?title_no=6278
Blood-Ink|5200000|https://www.webtoons.com/en/action/blood-ink/list?title_no=1490
Iseop’s Romance|5100000|https://www.webtoons.com/en/romance/iseops-romance/list?title_no=5753
I’m the Max-Level Newbie|5000000|https://www.webtoons.com/en/action/im-the-max-level-newbie/list?title_no=3915
Code Adam|4900000|https://www.webtoons.com/en/action/code-adam/list?title_no=1657
Osora|4800000|https://www.webtoons.com/en/fantasy/osora/list?title_no=6202
Hand Jumper|4700000|https://www.webtoons.com/en/thriller/hand-jumper/list?title_no=2702
Baby Tyrant|4600000|https://www.webtoons.com/en/fantasy/baby-tyrant/list?title_no=5433
Return of the Mad Demon|4500000|https://www.webtoons.com/en/historical/return-of-the-mad-demon/list?title_no=3671
Kubera|4500000|https://www.webtoons.com/en/fantasy/kubera/list?title_no=83
Study Group|4400000|https://www.webtoons.com/en/action/study-group/list?title_no=3595
Infinite Leveling: Murim|4400000|https://www.webtoons.com/en/action/infinite-leveling-murim/list?title_no=2676
Serena|4300000|https://www.webtoons.com/en/drama/serena/list?title_no=5037
Hello Baby|4300000|https://www.webtoons.com/en/romance/hello-baby/list?title_no=5166
Blades of Furry|4200000|https://www.webtoons.com/en/romance/blades-of-furry/list?title_no=2383
The Prince of Southland|4000000|https://www.webtoons.com/en/romance/the-prince-of-southland/list?title_no=2522
Mythic Item Obtained|4000000|https://www.webtoons.com/en/fantasy/mythic-item-obtained/list?title_no=4582
Love Me to Death|4000000|https://www.webtoons.com/en/fantasy/love-me-to-death/list?title_no=3203
I Was the Final Boss|4000000|https://www.webtoons.com/en/fantasy/i-was-the-final-boss/list?title_no=5170
